Year,Club Name,League,Profitability,FFP Compliance,Revenue,Wages (%),Investment,Market Size,Points Earned,Variance in Positions,Title Winners
2010,Manchester United,Premier League,0.13608437643847368,0,162.05883492105497,62.66183115572193,36.71055271883698,1751.8119471145258,43,4.632823170667297,1
2010,Liverpool,Premier League,0.027176191480094692,0,741.8404534132354,59.92233605874385,58.85110226026856,1531.1550762429447,45,9.925692672878958,0
2010,Chelsea,Premier League,0.17759891545270573,0,955.7902359155215,79.06962715282367,48.32322960935794,1748.2124379508605,67,2.520512303847146,0
2010,Arsenal,Premier League,0.1770127703960306,0,478.97152383031835,63.747998702799265,69.4376128071442,1210.5179059202374,44,7.480224080086153,0
2010,Manchester City,Premier League,0.07402818080420391,0,574.454827177423,78.90362726784292,34.487688518022914,1630.4933800023202,73,3.3432055246609007,0
2010,Tottenham,Premier League,0.1467041077509628,0,625.4761013586856,72.5426373374703,74.83811198847143,1952.9803101106818,92,9.684182552546062,0
2010,Leicester City,Premier League,0.10053714068612225,0,604.8109419720232,57.78731095639261,22.437150424617304,1685.9305992400164,60,7.863387760431367,1
2010,Everton,Premier League,0.12041367207457723,1,782.2862036331018,53.16860316112128,81.04464281063306,1723.5682408908867,72,4.221500085598036,0
2010,Aston Villa,Premier League,0.10243058368093705,1,706.0119577662776,57.57348662946697,43.611921790107694,1504.9895271697133,91,7.005913587137941,0
2010,West Ham,Premier League,0.05498032706375231,0,351.5775958932385,63.85636077645936,55.603790207523026,1717.5065367302068,84,9.275723016170295,0
2010,Real Madrid,La Liga,0.17954422244845358,1,761.5055901186197,64.67693128414659,52.743826295776856,766.7545982270352,36,5.807980241786108,0
2010,Barcelona,La Liga,0.14998051118550565,0,424.13387236197394,54.29562831341051,93.83261568811557,692.0149477789405,87,8.579555180342437,0
2010,Atletico Madrid,La Liga,0.10580783750171921,0,801.1990706050286,60.025845001222905,15.199793412027244,986.0243126670352,54,8.984785236903647,0
2010,Sevilla,La Liga,0.14861963560845431,1,841.6476359458488,62.22783834169216,86.91092527584743,790.5590855242541,44,4.6290520485662014,1
2010,Valencia,La Liga,0.0766025877678001,1,363.3516498833033,65.41890464519169,72.1936092056677,1238.1307233341518,90,6.49052754788414,0
2010,Villarreal,La Liga,0.04119988870821896,0,857.3721852579251,59.86013133950971,42.3679697034787,652.2027716531078,95,3.7832475833331856,0
2010,Real Betis,La Liga,0.05174253437728907,1,131.2598256169111,60.03970595750978,28.918160581168767,1001.2149167976374,37,6.7780178462484,0
2010,Real Sociedad,La Liga,0.153660387632161,0,506.2721440998644,60.79953671705915,37.73212807181547,526.4386168578764,55,6.651078423374392,0
2010,Athletic Bilbao,La Liga,0.18894772550692054,0,544.7967329147477,69.26458962199388,98.4174582754195,513.0563980260218,56,8.630991214570582,0
2010,Getafe,La Liga,0.08284809481471754,1,122.08055743432077,61.17256005068725,17.317715794903272,1828.016929061418,78,6.48658770706348,0
2010,Juventus,Serie A,0.1010352798148978,1,737.3513828691567,68.01278282977651,40.116106739748076,1414.3630249726878,71,3.8600705412465377,0
2010,Inter Milan,Serie A,0.0878281944722294,1,431.35547764397586,59.542983679355785,61.769900727797236,1405.118887041065,56,1.9463607064124033,0
2010,AC Milan,Serie A,0.18569681846698122,0,716.2693861296068,72.94360338500434,38.334765890184485,1656.207085914821,70,3.495465728303298,0
2010,Napoli,Serie A,0.02542317648410246,1,527.6490795611574,75.98077227660502,84.29111371956718,1639.2611865879715,48,5.812985799666431,0
2010,Roma,Serie A,0.09601357999532599,0,627.69614749869,62.952539376378205,57.47034738539222,729.2481436489436,53,1.2352416073240282,0
2010,Lazio,Serie A,0.022209120167728403,1,453.196948307972,75.90359460792361,13.65460311597451,997.6315968769832,80,6.287732500748361,0
2010,Atalanta,Serie A,0.17449788510825406,0,452.99040335824316,75.0810723528607,21.716502818083008,1706.9851747794899,60,6.245229395531022,0
